Timestamp,Area Total Pixels,Pixeles Lodo Detectado,Porcentaje Cobertura (%)
2025-12-30 14:10:22,2073600,582341.0,28.08
2025-12-30 14:10:22,2073600,587889.5,28.35
2025-12-30 14:10:22,2073600,605932.5,29.22
2025-12-30 14:10:22,2073600,616831.0,29.75
2025-12-30 14:10:22,2073600,633015.0,30.53
2025-12-30 14:10:22,2073600,659533.5,31.81
2025-12-30 14:10:23,2073600,684548.5,33.01
2025-12-30 14:10:23,2073600,701864.5,33.85
2025-12-30 14:10:23,2073600,704699.5,33.98
2025-12-30 14:10:23,2073600,704582.0,33.98
2025-12-30 14:10:23,2073600,711221.5,34.3
2025-12-30 14:10:23,2073600,706551.0,34.07
2025-12-30 14:10:23,2073600,725193.5,34.97
2025-12-30 14:10:23,2073600,762283.0,36.76
2025-12-30 14:10:23,2073600,744455.5,35.9
2025-12-30 14:10:23,2073600,736808.0,35.53
2025-12-30 14:10:23,2073600,768026.5,37.04
2025-12-30 14:10:24,2073600,753629.5,36.34
2025-12-30 14:10:24,2073600,771593.5,37.21
2025-12-30 14:10:24,2073600,796491.0,38.41
2025-12-30 14:10:24,2073600,778243.5,37.53
2025-12-30 14:10:24,2073600,811044.0,39.11
2025-12-30 14:10:24,2073600,749880.5,36.16
2025-12-30 14:10:24,2073600,719238.0,34.69
2025-12-30 14:10:24,2073600,708734.0,34.18
2025-12-30 14:10:24,2073600,703049.5,33.9
2025-12-30 14:10:24,2073600,662666.0,31.96
2025-12-30 14:10:25,2073600,640015.5,30.86
2025-12-30 14:10:25,2073600,634366.5,30.59
2025-12-30 14:10:25,2073600,633106.0,30.53
2025-12-30 14:10:25,2073600,604960.5,29.17
2025-12-30 14:10:25,2073600,593882.5,28.64
2025-12-30 14:10:25,2073600,558104.0,26.91
2025-12-30 14:10:25,2073600,547837.0,26.42
2025-12-30 14:10:25,2073600,540879.0,26.08
2025-12-30 14:10:25,2073600,534068.0,25.76
2025-12-30 14:10:25,2073600,524019.0,25.27
2025-12-30 14:10:25,2073600,515825.5,24.88
2025-12-30 14:10:26,2073600,511504.0,24.67
2025-12-30 14:10:26,2073600,501223.5,24.17
2025-12-30 14:10:26,2073600,502109.0,24.21
